EarthRef.org -- GERM Partition Coefficient (Kd) Database
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen

DATA:
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted
Basanite	Amphibole	41	Nb			.069	.21	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	42	Mo			.0272	.06	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	47	Ag			3.01	1.45	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	48	Cd			.29	.09	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	49	In			1.09	2.54	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	50	Sn			.72	.11	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	51	Sb			.016	.007	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	55	Cs			.06	.003	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	56	Ba			.19	.26	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	57	La			.07	.17	Experimental	Adam & Green 1994	Solid-Melt		12-DEC-2000
Basanite	Amphibole	57	La			.05	.11	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	58	Ce			.09	.19	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	60	Nd			.2	.37	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	62	Sm			.37	.7	Experimental	Adam & Green 1994	Solid-Melt		12-DEC-2000
Basanite	Amphibole	62	Sm			.3	.54	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	65	Tb			.4	.64	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	67	Ho			.44	.73	Experimental	Adam & Green 1994	Solid-Melt		12-DEC-2000
Basanite	Amphibole	67	Ho			.41	.61	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	69	Tm			.36	.51	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	70	Yb			.27	.44	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	71	Lu			.3	.44	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	71	Lu			.32	.48	Experimental	Adam & Green 1994	Solid-Melt		12-DEC-2000
Basanite	Amphibole	72	Hf			.27	.59	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	73	Ta			.083	.24	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	74	W			.0011	.0025	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	81	Tl			.23	.11	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	82	Pb			.07	.05	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	83	Bi			.14	.49	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	90	Th			.0035	.009	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	92	U			.0039	.008	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	22	Ti	.95				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000
Basanite-Basalt	Amphibole	37	Rb	.34				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000
Basanite-Basalt	Amphibole	38	Sr	.33				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000
Basanite-Basalt	Amphibole	39	Y	.6				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000
Basanite-Basalt	Amphibole	40	Zr	.25				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000
Basanite-Basalt	Amphibole	41	Nb	.08				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000
Basanite-Basalt	Amphibole	56	Ba	.46				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000
Basanite-Basalt	Amphibole	73	Ta	.09				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000
Andesite	Amphibole	21	Sc	13				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	24	Cr	40				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	27	Co	6.1				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	30	Zn	1.6				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	37	Rb	.4				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	38	Sr	.01				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	40	Zr	.5				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	55	Cs	.01				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	56	Ba	.3				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	57	La	.31				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	58	Ce	.53				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	60	Nd	1.2				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	62	Sm	2				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	63	Eu	1.9				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	65	Tb	2				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	70	Yb	2.1				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	71	Lu	2.1				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	72	Hf	.54				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	73	Ta	.59				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	90	Th	.16				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	21	Sc	14				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	24	Cr	40				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	27	Co	37				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	30	Zn	2.3				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	37	Rb	.4				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	38	Sr	.01				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	40	Zr	.5				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	55	Cs	.01				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	56	Ba	.3				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	57	La	.36				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	58	Ce	.68				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	60	Nd	1.6				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	62	Sm	2.3				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	63	Eu	3.2				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	65	Tb	2.4				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	70	Yb	1.8				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	71	Lu	1.8				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	72	Hf	.52				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	73	Ta	.43				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	90	Th	.16				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Alkali Olivine Basalt	Kaersutite, Amphibole	39	Y	.873				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Alkali Olivine Basalt	Kaersutite, Amphibole	57	La	.116				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Alkali Olivine Basalt	Kaersutite, Amphibole	58	Ce	.185				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Alkali Olivine Basalt	Kaersutite, Amphibole	59	Pr	.277				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Alkali Olivine Basalt	Kaersutite, Amphibole	60	Nd	.396				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Alkali Olivine Basalt	Kaersutite, Amphibole	62	Sm	.651				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Alkali Olivine Basalt	Kaersutite, Amphibole	63	Eu	.657				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Alkali Olivine Basalt	Kaersutite, Amphibole	64	Gd	.933				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Alkali Olivine Basalt	Kaersutite, Amphibole	65	Tb	1				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Alkali Olivine Basalt	Kaersutite, Amphibole	66	Dy	.967				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Alkali Olivine Basalt	Kaersutite, Amphibole	67	Ho	1.03				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Alkali Olivine Basalt	Kaersutite, Amphibole	68	Er	.851				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Alkali Olivine Basalt	Kaersutite, Amphibole	69	Tm	.816				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Alkali Olivine Basalt	Kaersutite, Amphibole	70	Yb	.787				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Alkali Olivine Basalt	Kaersutite, Amphibole	71	Lu	.698				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
MARID Lamproite	Pargasite, Amphibole	57	La	.0437				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
MARID Lamproite	Pargasite, Amphibole	58	Ce	.0709				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
MARID Lamproite	Pargasite, Amphibole	60	Nd	.123				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
MARID Lamproite	Pargasite, Amphibole	62	Sm	.158				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
MARID Lamproite	Pargasite, Amphibole	63	Eu	.175				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
MARID Lamproite	Pargasite, Amphibole	64	Gd	.188				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
MARID Lamproite	Pargasite, Amphibole	66	Dy	.165				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
MARID Lamproite	Pargasite, Amphibole	68	Er	.175				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
MARID Lamproite	Pargasite, Amphibole	70	Yb	.177				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Ultramafic Lamproite	K-Richterite, Amphibole	21	Sc	7.43				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Ultramafic Lamproite	K-Richterite, Amphibole	23	V	3.67				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Ultramafic Lamproite	K-Richterite, Amphibole	39	Y	.0196				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Ultramafic Lamproite	K-Richterite, Amphibole	57	La	.0274				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Ultramafic Lamproite	K-Richterite, Amphibole	58	Ce	.0293				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Ultramafic Lamproite	K-Richterite, Amphibole	60	Nd	.0325				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Ultramafic Lamproite	K-Richterite, Amphibole	62	Sm	.024				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Ultramafic Lamproite	K-Richterite, Amphibole	63	Eu	.0498				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Ultramafic Lamproite	K-Richterite, Amphibole	64	Gd	.018				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Ultramafic Lamproite	K-Richterite, Amphibole	66	Dy	.0136				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Ultramafic Lamproite	K-Richterite, Amphibole	68	Er	.0318				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Ultramafic Lamproite	K-Richterite, Amphibole	70	Yb	.102				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Andesite	Amphibole	22	Ti	2.02				Experimental	Brenan et al. 1995	Solid-Melt		12-DEC-2000
Andesite	Amphibole	37	Rb	.14				Experimental	Brenan et al. 1995	Solid-Melt		12-DEC-2000
Andesite	Amphibole	38	Sr	.28				Experimental	Brenan et al. 1995	Solid-Melt		12-DEC-2000
Andesite	Amphibole	40	Zr	.23				Experimental	Brenan et al. 1995	Solid-Melt		12-DEC-2000
Andesite	Amphibole	41	Nb	.2				Experimental	Brenan et al. 1995	Solid-Melt		12-DEC-2000
Andesite	Amphibole	56	Ba	.12				Experimental	Brenan et al. 1995	Solid-Melt		12-DEC-2000
Andesite	Amphibole	58	Ce	.22				Experimental	Brenan et al. 1995	Solid-Melt		12-DEC-2000
Andesite	Amphibole	60	Nd	.62				Experimental	Brenan et al. 1995	Solid-Melt		12-DEC-2000
Andesite	Amphibole	62	Sm	.66				Experimental	Brenan et al. 1995	Solid-Melt		12-DEC-2000
Andesite	Amphibole	70	Yb	1.25				Experimental	Brenan et al. 1995	Solid-Melt		12-DEC-2000
Andesite	Amphibole	72	Hf	.45				Experimental	Brenan et al. 1995	Solid-Melt		12-DEC-2000
Andesite	Amphibole	73	Ta	.21				Experimental	Brenan et al. 1995	Solid-Melt		12-DEC-2000
Andesite	Amphibole	82	Pb	.12				Experimental	Brenan et al. 1995	Solid-Melt		12-DEC-2000
Andesite	Amphibole	90	Th	.017				Experimental	Brenan et al. 1995	Solid-Melt		12-DEC-2000
Andesite	Amphibole	92	U	.008				Experimental	Brenan et al. 1995	Solid-Melt		12-DEC-2000
Synthetic Basalt	Amphibole	3	Li	.124				Experimental	Brenan et al. 1998	Solid-Melt		12-DEC-2000
Synthetic Basalt	Amphibole	4	Be	.15				Experimental	Brenan et al. 1998	Solid-Melt		12-DEC-2000
Lherzolite	Amphibole	38	Sr			.079	.101	Calculated	Chazot et al. 1996	Solid-Melt		12-DEC-2000
Lherzolite	Amphibole	39	Y			.396	.499	Calculated	Chazot et al. 1996	Solid-Melt		12-DEC-2000
Lherzolite	Amphibole	40	Zr			.15	.233	Calculated	Chazot et al. 1996	Solid-Melt		12-DEC-2000
Lherzolite	Amphibole	41	Nb			.032	.196	Calculated	Chazot et al. 1996	Solid-Melt		12-DEC-2000
Lherzolite	Amphibole	56	Ba			.171	1.592	Calculated	Chazot et al. 1996	Solid-Melt		12-DEC-2000
Lherzolite	Amphibole	57	La			.061	.084	Calculated	Chazot et al. 1996	Solid-Melt		12-DEC-2000
Lherzolite	Amphibole	58	Ce			.092	.112	Calculated	Chazot et al. 1996	Solid-Melt		12-DEC-2000
Lherzolite	Amphibole	59	Pr			.117	.14	Calculated	Chazot et al. 1996	Solid-Melt		12-DEC-2000
Lherzolite	Amphibole	60	Nd			.187	.221	Calculated	Chazot et al. 1996	Solid-Melt		12-DEC-2000
Lherzolite	Amphibole	62	Sm			.234	.323	Calculated	Chazot et al. 1996	Solid-Melt		12-DEC-2000
Lherzolite	Amphibole	63	Eu			.19	.366	Calculated	Chazot et al. 1996	Solid-Melt		12-DEC-2000
Lherzolite	Amphibole	64	Gd			.322	.549	Calculated	Chazot et al. 1996	Solid-Melt		12-DEC-2000
Lherzolite	Amphibole	65	Tb			.301	.496	Calculated	Chazot et al. 1996	Solid-Melt		12-DEC-2000
Lherzolite	Amphibole	66	Dy			.322	.459	Calculated	Chazot et al. 1996	Solid-Melt		12-DEC-2000
Lherzolite	Amphibole	67	Ho			.346	.518	Calculated	Chazot et al. 1996	Solid-Melt		12-DEC-2000
Lherzolite	Amphibole	68	Er			.297	.43	Calculated	Chazot et al. 1996	Solid-Melt		12-DEC-2000
Lherzolite	Amphibole	70	Yb			.22	.301	Calculated	Chazot et al. 1996	Solid-Melt		12-DEC-2000
Lherzolite	Amphibole	71	Lu			.331	.38	Calculated	Chazot et al. 1996	Solid-Melt		12-DEC-2000
Lherzolite	Amphibole	72	Hf			.627	.838	Calculated	Chazot et al. 1996	Solid-Melt		12-DEC-2000
Lherzolite	Amphibole	90	Th			.006	.007	Calculated	Chazot et al. 1996	Solid-Melt		12-DEC-2000
Basanite-Basalt	Amphibole	19	K	1.36	.78			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	22	Ti	.717	.028			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	37	Rb	.22	.043			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	38	Sr	.376	.005			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	39	Y	.333	.028			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	40	Zr	.124	.009			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	41	Nb	.05	.006			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	56	Ba	.278	.009			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	57	La	.039	.005			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	58	Ce	.067	.002			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	59	Pr	.105	.007			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	60	Nd	.142	.007			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	62	Sm	.188	.075			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	63	Eu	.351	.022			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	64	Gd	.368	.017			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	65	Tb	.385	.024			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	66	Dy	.406	.013			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	67	Ho	.35	.036			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	68	Er	.362	.008			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	69	Tm	.281	.03			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	70	Yb	.349	.045			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	71	Lu	.246	.032			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	72	Hf	.331	.05			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	73	Ta	.074	.015			Experimental	Dalpe & Baker 1994	Solid-Melt		08-DEC-2008
Basalt-Andesite	Amphibole	3	Li	.3				Phenocryst-Matrix	Dostal et al. 1983	Solid-Melt		12-DEC-2000
Basalt-Andesite	Amphibole	23	V	3.4				Phenocryst-Matrix	Dostal et al. 1983	Solid-Melt		12-DEC-2000
Basalt-Andesite	Amphibole	24	Cr	12.5				Phenocryst-Matrix	Dostal et al. 1983	Solid-Melt		12-DEC-2000
Basalt-Andesite	Amphibole	27	Co	2				Phenocryst-Matrix	Dostal et al. 1983	Solid-Melt		12-DEC-2000
Basalt-Andesite	Amphibole	28	Ni	6.8				Phenocryst-Matrix	Dostal et al. 1983	Solid-Melt		12-DEC-2000
Basalt-Andesite	Amphibole	29	Cu	.05				Phenocryst-Matrix	Dostal et al. 1983	Solid-Melt		12-DEC-2000
Basalt-Andesite	Amphibole	30	Zn	.4				Phenocryst-Matrix	Dostal et al. 1983	Solid-Melt		12-DEC-2000
Basalt-Andesite	Amphibole	37	Rb	.33				Phenocryst-Matrix	Dostal et al. 1983	Solid-Melt		12-DEC-2000
Basalt-Andesite	Amphibole	38	Sr	.48				Phenocryst-Matrix	Dostal et al. 1983	Solid-Melt		12-DEC-2000
Basalt-Andesite	Amphibole	57	La	.25				Phenocryst-Matrix	Dostal et al. 1983	Solid-Melt		12-DEC-2000
Basalt-Andesite	Amphibole	58	Ce	.32				Phenocryst-Matrix	Dostal et al. 1983	Solid-Melt		12-DEC-2000
Basalt-Andesite	Amphibole	62	Sm	1.4				Phenocryst-Matrix	Dostal et al. 1983	Solid-Melt		12-DEC-2000
Basalt-Andesite	Amphibole	63	Eu	1.2				Phenocryst-Matrix	Dostal et al. 1983	Solid-Melt		12-DEC-2000
Basalt-Andesite	Amphibole	65	Tb	1.3				Phenocryst-Matrix	Dostal et al. 1983	Solid-Melt		12-DEC-2000
Basalt-Andesite	Amphibole	70	Yb	1.2				Phenocryst-Matrix	Dostal et al. 1983	Solid-Melt		12-DEC-2000
Basalt-Andesite	Amphibole	71	Lu	1.1				Phenocryst-Matrix	Dostal et al. 1983	Solid-Melt		12-DEC-2000
Basalt-Andesite	Amphibole	72	Hf	.5				Phenocryst-Matrix	Dostal et al. 1983	Solid-Melt		12-DEC-2000
Basalt-Andesite	Amphibole	90	Th	.5				Phenocryst-Matrix	Dostal et al. 1983	Solid-Melt		12-DEC-2000
Basalt-Andesite	Amphibole	92	U	.1				Phenocryst-Matrix	Dostal et al. 1983	Solid-Melt		12-DEC-2000
Dacite	Amphibole	25	Mn	15.7				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Dacite	Amphibole	26	Fe	22.9				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Dacite	Amphibole	28	Ni	9.3				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Dacite	Amphibole	29	Cu				1.2	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Dacite	Amphibole	30	Zn	10.7				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Dacite	Amphibole	31	Ga	2.42				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Dacite	Amphibole	32	Ge				1.9	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Dacite	Amphibole	37	Rb	.18				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Dacite	Amphibole	38	Sr	.6				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
